category,compatibility,languages,name,price,rating,
 Music, OS X 10.7  ," English, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Italian, Japanese, Korean, Norwegian BokmÌ´l, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian",MP3 to Any Pro,$3.99 ,4.8, 59.5 MB
 Music, OS X 10.7  ," English, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Italian, Japanese, Korean, Norwegian BokmÌ´l, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian",MP3 to Any Lite,Free,4.8, 59.6 MB
 Music, OS X 10.7  ,,MP3 Music Converter - Aisee,$9.99 ,5, 51.7 MB
 Music, OS X 10.7  ,,MP3 Converter Pro - MP4 to MP3,$9.99 ,1, 50.4 MB
 Music, OS X 10.8 ," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",MP3 Converter Pro,$19.99 ,1, 7.1 MB
 Utilities, OS 10.13  , English,Movpeg4,$2.99 ,5, 3.7 MB
 Video, OS X 10.10  ," English, Japanese, Korean, Russian, Simplified Chinese",Movist,$4.99 ,4.6, 48 MB
 Video, OS X 10.6.6  ," English, Chinese, French, German, Hungarian, Japanese, Korean, Persian, Polish, Portuguese, Russian, Spanish, Swedish, Turkish",MovieWriterPro Reader,Free,1.2, 9.5 MB
 Productivity, OS X 10.6.6  ," English, Chinese, French, German, Hungarian, Japanese, Korean, Persian, Polish, Portuguese, Russian, Spanish, Swedish, Traditional Chinese, Turkish",MovieWriterPro,$29.99 ,1.5, 18.2 MB
 Graphics & Design, OS X 10.8  , English,MovieTexts,$4.99 ,1.7, 1.9 GB
 Video, OS X 10.10  , English,MovieSlateå¨ KeyClips,Free,3, 7.1 MB
 Video, OS X 10.7  , English,MovieShare,Free,3, 14.5 MB
 Video, OS 10.12  , English,Movies And Maps,$3.99 ,3, 8.2 MB
 Utilities, OS X 10.10  , English,MoviePal,$4.99 ,3, 34.8 MB
 Video, OS X 10.8  ," English, Simplified Chinese",MovieMator Video Editor Pro,$14.99 ,2.8, 92.7 MB
 Video, OS X 10.8  ," English, Simplified Chinese",MovieMator Video Editor,Free,3.6, 83.8 MB
 Video, OS X 10.7 , English,Movieman,$2.99 ,5, 887.4 KB
 Utilities, OS X 10.7  ," English, Spanish",MovieIcon - Adds cover art to your movie files,$2.99 ,1.9, 7.9 MB
 Video, OS X 10.6  , English,MovieDrops HD for iMovie and for Final Cut Pro,$7.99 ,2.5, 2.1 GB
 Video, OS X 10.6  , English,MovieConverter,$0.99 ,3.1, 36 MB
 Video, OS X 10.9  , English,MovieCaptioner,$99.99 ,5, 21.8 MB
 Video, OS X 10.6 ," English, Dutch, French, German, Italian, Japanese, Portuguese, Russian, Simplified Chinese, Spanish, Swedish",Movie-Converter,$1.99 ,1.8, 4.5 MB
 Video, OS 10.12  , English,Movie Tiler,$14.99 ,, 343.2 MB
 Video, OS X 10.9  ," English, French, German, Japanese, Simplified Chinese",Movie Thumbnails Maker Lite,Free,4.4, 15 MB
 Video, OS X 10.9  ," English, French, German, Japanese, Simplified Chinese",Movie Thumbnails Maker,$5.99 ,4.3, 14.6 MB
 Video, OS X 10.6.6  , English,Movie Thumbnailer,$4.99 ,2.7, 7.5 MB
 Video, OS X 10.9  , English,Movie Subtitler,$4.99 ,1, 21.7 MB
 Video, OS 10.12  , English,Movie Studio (Convert & Edit),Free,4, 16.3 MB
 Video, OS 10.13  , English,Movie Squeezer,$7.99 ,3, 5.2 MB
 Video, OS X 10.9  , English,Movie Rotate Lite,Free,2.6, 2.3 MB
 Video, OS X 10.9  , English,Movie Rotate,$14.99 ,1, 1.2 MB
 Video, OS X 10.10  , English,Movie Recorder,$4.99 ,4.6, 903.8 KB
 Video, OS X 10.8  , English,Movie Metadata Editor,$4.99 ,1.8, 2.1 MB
 Video, OS X 10.10  ," English, French, German, Japanese",Movie Maker,$28.99 ,, 64.4 MB
 Video, OS X 10.10  ," English, Japanese",Movie generator - Generate movies from images,Free,, 3.2 MB
 Video, OS X 10.6 , English,Movie Effects,$2.99 ,3.9, 7 MB
 Video, OS X 10.7  , English,Movie Edit-Video Editor Video,Free,1.1, 14.6 MB
 Video, OS X 10.7  , English,Movie Edit Pro - Video Editor,Free,4.2, 14.8 MB
 Video, OS X 10.8  , English,Movie Clips Free,Free,1.6, 1.1 MB
 Video, OS X 10.8  , English,Movie Clips,$4.99 ,1, 1.1 MB
 Video, OS X 10.6.0 ," English, Dutch, French, German, Italian, Japanese, Polish, Portuguese, Russian, Spanish, Turkish",Movavi WMV Converter,$9.99 ,2.8, 40.2 MB
 Video, OS X 10.6.0 , English,Movavi Media Player,$19.99 ,2, 38.9 MB
 Utilities, OS X 10.6.0 ," English, Dutch, French, German, Italian, Japanese, Polish, Portuguese, Russian, Spanish, Turkish",Movavi AVI Converter,$9.99 ,4, 40.7 MB
 Video, OS X 10.7 ," English, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",Movavi - Video Editor & Maker,$29.99 ,3.8, 89.9 MB
 Video, OS X 10.8 , English,MOV Video Converter,$3.99 ,2, 9.2 MB
 Video, OS X 10.6.6  , English,MOV to DVD Creator,$19.99 ,1, 132.2 MB
 Utilities, OS X 10.7  , English,MOV MetaEdit,Free,1, 9.7 MB
 Video, OS X 10.7  ,,MOV Converter Pro - to MP4/AVI,$19.99 ,5, 50.5 MB
 Video, OS X 10.10  ," English, Simplified Chinese, Traditional Chinese",MOV Converter - A powerful MOV converter that can convert video formats to MOV format,$4.99 ,1, 257.1 KB
 Video, OS X 10.6.6  , English,MOV Converter,$19.99 ,1, 21.8 MB
 Utilities, OS X 10.6  ," English, Italian",Mouse Hider,$2.99 ,4.6, 555.6 KB
 Video, OS X 10.10  , English,Motion Video Backgrounds,Free,2.5, 991.4 MB
 Entertainment, OS X 10.9 , English,Motion FX,Free,4, 29.8 MB
 Video, OS X 10.11  ," English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish",Motion Backgrounds,$9.99 ,5, 814.9 MB
 Video, OS 10.14.6  ," English, French, German, Japanese, Simplified Chinese, Spanish",Motion,$49.99 ,4.5, 2.3 GB
 Video, OS 10.13  ," English, Danish, Dutch, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Slovak, Spanish, Traditional Chinese, Turkish, Ukrainian",Mosee,Free,, 23.1 MB
